,id,host_id,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,price,weekly_price,monthly_price,minimum_nights,maximum_nights,guests_included,availability_30,availability_60,availability_90,availability_365,requires_license,jurisdiction_names
0,38585,165529,t,House,Private room,2,1.0,1,$50.00,,,1,3,1,0,0,2,2,f,"{""NORTH CAROLINA"","" BUNCOMBE""}"
1,80905,427027,t,Loft,Entire home/apt,12,2.0,3,$765.00,"$2,100.00","$5,000.00",1,100,6,26,49,75,341,f,"{""NORTH CAROLINA"","" BUNCOMBE""}"
2,108061,320564,t,Apartment,Entire home/apt,2,1.0,1,$75.00,$800.00,"$1,350.00",30,365,2,0,0,1,276,f,"{""NORTH CAROLINA"","" BUNCOMBE""}"
3,155305,746673,t,Guesthouse,Entire home/apt,2,1.0,1,$107.00,,,1,365,2,23,52,82,207,f,"{""NORTH CAROLINA"","" BUNCOMBE""}"
4,156805,746673,t,House,Private room,2,2.5,1,$71.00,,,1,365,2,0,0,0,0,f,"{""NORTH CAROLINA"","" BUNCOMBE""}"
5,156926,746673,t,House,Shared room,1,2.5,1,$26.00,,,1,365,1,0,28,58,185,f,"{""NORTH CAROLINA"","" BUNCOMBE""}"
6,160594,769252,t,House,Private room,2,1.0,1,$125.00,,,30,1125,1,30,60,90,365,f,"{""NORTH CAROLINA"","" BUNCOMBE""}"
7,209068,1029919,f,Guest suite,Entire home/apt,4,1.0,1,$134.00,$945.00,,7,360,2,0,3,4,279,f,"{""NORTH CAROLINA"","" BUNCOMBE""}"
8,213006,1098412,t,Bungalow,Private room,1,1.0,1,$46.00,$315.00,,1,1125,1,8,38,68,343,f,"{""NORTH CAROLINA"","" BUNCOMBE""}"
9,246315,1292070,t,Cabin,Private room,2,1.0,1,$65.00,,"$1,600.00",3,365,1,27,57,87,87,f,"{""NORTH CAROLINA"","" BUNCOMBE""}"
10,295496,1501882,t,Apartment,Entire home/apt,2,1.0,1,$50.00,$350.00,"$1,200.00",28,365,1,0,0,0,0,f,"{""NORTH CAROLINA"","" BUNCOMBE""}"
11,304379,1566145,t,Guesthouse,Entire home/apt,4,1.0,2,$289.00,"$1,200.00","$2,800.00",30,365,3,29,59,89,364,f,"{""NORTH CAROLINA"","" BUNCOMBE""}"
12,427497,1909922,t,Guest suite,Entire home/apt,2,1.0,1,$125.00,$800.00,"$2,800.00",2,90,2,7,25,43,230,f,"{""NORTH CAROLINA"","" BUNCOMBE""}"
