,id,host_id,neighbourhood,latitude,longitude,price,calculated_host_listings_count,availability_365
0,38585,165529,28804,35.65146,-82.62791999999999,50,1,2
1,80905,427027,28801,35.59779,-82.5554,765,11,341
2,108061,320564,28801,35.6067,-82.55563000000001,75,2,276
3,155305,746673,28806,35.57864,-82.59578,107,7,207
4,156805,746673,28806,35.57864,-82.59578,71,7,0
5,156926,746673,28806,35.57864,-82.59578,26,7,185
6,160594,769252,28801,35.61442,-82.54127,125,1,365
7,209068,1029919,28804,35.618559999999995,-82.55275999999999,134,1,279
8,213006,1098412,28806,35.58345,-82.59713,46,1,343
9,246315,1292070,28805,35.59635,-82.50655,65,2,87
10,295496,1501882,28803,35.55537,-82.53539,50,1,0
11,304379,1566145,28804,35.644529999999996,-82.52586,289,2,364
12,427497,1909922,28803,35.49111,-82.48438,125,1,230
13,436476,478398,28801,35.601820000000004,-82.56174,96,2,60
14,483384,467421,28803,35.56118,-82.57784000000001,115,1,239
15,495111,12874214,28801,35.60371,-82.55621,95,3,365
16,528535,2596933,28801,35.60075,-82.5539,99,2,26
17,539020,2647849,28806,35.57318,-82.59976,100,1,363
18,621243,3079174,28801,35.60418,-82.54964,132,1,147
19,634319,1202653,28805,35.62839,-82.47989,150,1,364
20,660702,3335271,28804,35.62166,-82.55373,75,1,311
21,674894,614610,28805,35.62272,-82.50285,49,2,365
22,695196,3552264,28801,35.581309999999995,-82.55741,49,2,329
23,720609,427027,28801,35.59787,-82.55336,309,11,354
24,723349,3736218,28801,35.57468,-82.55705,171,8,85
25,723410,3736218,28804,35.62894,-82.51751,295,8,214
26,751963,3920284,28806,35.57805,-82.58341999999999,99,1,148
27,840696,4390477,28801,35.58395,-82.56161,224,1,340
28,846221,4418555,28804,35.64271,-82.51219,137,1,364
29,874008,3736218,28804,35.63012,-82.5183,175,8,300
30,875735,4632589,28805,35.58617,-82.50657,65,1,362
31,881707,4664726,28806,35.56893,-82.59475,95,1,288
32,942934,5100332,28806,35.57312,-82.59092,62,1,151
33,943832,5107042,28801,35.6117,-82.57668000000001,250,1,358
34,971003,5306734,28801,35.605,-82.57262,145,1,50
35,976034,5340154,28803,35.555440000000004,-82.48361,145,1,320
36,977054,4302936,28804,35.6157,-82.55594,130,1,0
37,990426,427027,28801,35.59789,-82.55547,355,11,362
38,992821,5452427,28715,35.56922,-82.64731,95,1,45
39,1039028,4143638,28803,35.55144,-82.49132,90,2,286
40,1066156,4834939,28804,35.6461,-82.51605,135,2,278
41,1127777,6187751,28806,35.573809999999995,-82.59376999999999,60,1,177
42,1151149,6297275,28805,35.5877,-82.49744,72,1,0
43,1198090,6559591,28806,35.572990000000004,-82.57666,85,1,0
44,1212352,6618494,28801,35.59942,-82.56189,110,4,90
45,1219374,1286364,28801,35.60622,-82.56569,85,1,160
46,1223655,427027,28801,35.59771,-82.55533,765,11,331
47,1223683,427027,28801,35.597879999999996,-82.55555,355,11,322
48,1235531,5079854,28704,35.4703,-82.51606,89,1,365
49,1243512,427027,28801,35.598209999999995,-82.55274,1285,11,365
50,1297717,614610,28805,35.62277,-82.50215,57,2,246
51,1312301,7130739,28805,35.58247,-82.49987,79,1,365
52,1325364,7193579,28806,35.57827,-82.58891,75,1,337
53,1392363,7527127,28804,35.62447,-82.57928000000001,115,2,63
54,1393012,7523601,28704,35.46158,-82.53984,80,1,364
55,1421061,483350,28803,35.57597,-82.53695,125,1,246
56,1475299,1566145,28804,35.64455,-82.52651,152,2,0
57,1497710,2326321,28806,35.57145,-82.57502,125,1,0
58,1563004,8316714,28806,35.572790000000005,-82.60014,50,1,87
59,1569954,8348149,28801,35.61156,-82.55237,70,1,364
60,1571095,8345942,28803,35.573570000000004,-82.53846,79,1,60
61,1574329,3736218,28801,35.57478,-82.55719,135,8,356
62,1577750,8386107,28803,35.55981,-82.53563,44,1,365
63,1578831,6618494,28801,35.60603,-82.55362,89,4,48
64,1586906,5601328,28801,35.60823,-82.56212,80,1,349
65,1684109,4117051,28805,35.60792,-82.48789000000001,275,3,281
66,1728187,320564,28801,35.60644,-82.55594,225,2,151
67,1768955,12874214,28801,35.60368,-82.55646999999999,42,3,222
68,1785262,5564999,28806,35.58713,-82.57521,87,1,152
69,1788770,9385592,28805,35.617740000000005,-82.47610999999999,75,2,14
70,1827412,7625694,28801,35.59135,-82.55054,89,7,0
71,1843828,9617701,28804,35.64752,-82.5309,250,1,297
72,1851921,1816805,28801,35.59387,-82.54326999999999,120,1,87
73,1852818,9674379,28801,35.61295,-82.54775,60,1,277
74,1950593,6510905,28806,35.594440000000006,-82.58945,109,2,0
75,1956037,10110069,28804,35.61768,-82.55927,130,1,279
76,2011367,10349105,28801,35.59986,-82.54459,79,1,41
77,2014453,6510905,28806,35.59357,-82.58993000000001,99,2,0
78,2072026,8533528,28804,35.63647,-82.54949,89,1,335
79,2108335,3383961,28801,35.586009999999995,-82.55628,165,2,342
80,2176375,11100294,28806,35.56778,-82.58778000000001,44,2,312
81,2209375,2596933,28801,35.6013,-82.55634,113,2,76
82,2213748,1994122,28805,35.60722,-82.53155,30,8,180
83,2214960,11297481,28801,35.61054,-82.55334,79,2,94
84,2222067,11336944,28801,35.58225,-82.55814000000001,85,2,167
85,2254521,546222,28806,35.56893,-82.56834,40,1,343
86,2283071,4836597,28806,35.57816,-82.60315,50,1,276
87,2295996,7535860,28801,35.60207,-82.55885,73,3,348
88,2296152,7535860,28801,35.60403,-82.56101,73,3,350
89,2326086,2307713,28801,35.59541,-82.55329,169,3,307
90,2411109,7535860,28801,35.60048,-82.55759,74,3,357
91,2432326,12432758,28804,35.6163,-82.55864,77,2,320
92,2432333,12430753,28805,35.59171,-82.51076,100,1,63
93,2454666,10240937,28806,35.57943,-82.58681999999999,140,1,305
94,2477628,8035294,28801,35.58939,-82.56782,65,1,58
95,2569529,8671251,28801,35.60045,-82.55587,2500,1,365
96,2607570,13238922,28801,35.60606,-82.54351,79,1,365
97,2624781,1092030,28803,35.58103,-82.53334,249,1,0
98,2643168,13532421,28801,35.604009999999995,-82.55041999999999,999,9,0
99,2691057,13773106,28806,35.57529,-82.59529,65,1,364
100,2708104,11297481,28801,35.61231,-82.55362,100,2,0
101,2761044,7073079,28803,35.558,-82.478,668,1,0
102,2842035,14537196,28805,35.579609999999995,-82.47513000000001,190,1,0
103,2925486,14937363,28805,35.586929999999995,-82.50327,125,1,325
104,2943116,15025836,28806,35.5545,-82.6244,100,1,154
105,2949571,15056995,28806,35.59595,-82.63034,130,2,364
106,3040444,12874214,28801,35.60329,-82.55617,105,3,333
107,3066648,15605872,28801,35.59215,-82.5664,40,1,17
108,3084395,15694798,28804,35.6241,-82.53003000000001,125,3,292
109,3095136,15694798,28806,35.59519,-82.63967,160,3,272
110,3116699,15694798,28804,35.62352,-82.52959,175,3,293
111,3220474,16296123,28803,35.49069,-82.51348,45,3,36
112,3225871,16293519,28732,35.4394,-82.50569,29,1,0
113,3244166,16412724,28801,35.6018,-82.54328000000001,199,2,179
114,3268055,167473,28806,35.587509999999995,-82.63689000000001,68,3,243
